Splits,n_estimators,max_depth,Accuracy
Split 1 (70/30),1,,0.7273038907615837
Split 1 (70/30),1,1,0.789331352720486
Split 1 (70/30),1,10,0.8030432878173266
Split 1 (70/30),100,,0.8007579653011865
Split 1 (70/30),100,1,0.789331352720486
Split 1 (70/30),100,10,0.8142794568550153
Split 1 (70/30),500,,0.8024338684796892
Split 1 (70/30),500,1,0.789331352720486
Split 1 (70/30),500,10,0.8146222552324364
Split 2 (80/20),1,,0.7346454893446838
Split 2 (80/20),1,1,0.7886076672570417
Split 2 (80/20),1,10,0.8058047191909958
Split 2 (80/20),100,,0.802005370507913
Split 2 (80/20),100,1,0.7886076672570417
Split 2 (80/20),100,10,0.8147174770039421
Split 2 (80/20),500,,0.803605096269211
Split 2 (80/20),500,1,0.7886076672570417
Split 2 (80/20),500,10,0.8145460778152317
Split 3 (90/10),1,,0.7321602011083814
Split 3 (90/10),1,1,0.784779752042507
Split 3 (90/10),1,10,0.8075187110781009
Split 3 (90/10),100,,0.7991201508312861
Split 3 (90/10),100,1,0.784779752042507
Split 3 (90/10),100,10,0.8131748843055476
Split 3 (90/10),500,,0.7994629492087071
Split 3 (90/10),500,1,0.784779752042507
Split 3 (90/10),500,10,0.8134605496200651
